Skin Name,Brawler,Rarity,Price,Price+,Theme,Archivity
Валькирия Janet,Janet,3,149,0,Brawl Pass,-
Тёмная Фея Janet,Janet,3,149,0,Enchanted woods,-
ФараОтис,Otis,3,149,0,Brawl Pass,-
Они Otis,Otis,3,149,0,The Ayakashi Clan,-
Победитель Otis,Otis,3,149,0,World Championship,-
Chainsaw Buster,Buster,3,149,0,Brawl Pass,-
Crocodile Buster,Buster,3,149,0,Rumble Jungle Heroes,-
Алый R-T,R-T,3,149,0,Brawl Pass,-
Rosie Charlie,Charlie,3,0,0,Brawl Pass,-
Гринч Mico,Mico,3,149,0,Dark Winter Tales,-
РобоСпайк,Spike,3,149,0,Max Force,-
Тёмный Лорд Spike,Spike,3,149,0,Lunar Brawl,-
Crowbone,Crow,3,149,0,The Calamity Gang,-
Оборотень Leon,Leon,3,149,0,Halloween,+
Лампа Sandy,Sandy,3,149,0,Sands of Time,-
Sandy KOYA,Sandy,3,149,0,BT21,-
Палладин Surge-Меха,Surge,3,0,0,Brawl Pass,+
Кракен Surge,Surge,3,149,0,Supercell Make,-
Джинн Surge,Surge,3,149,0,Sands of Time,-
Amber de La Vega,Amber,3,149,0,Outlaws,-
Frost Queen Amber,Amber,5,299,0,Dark Winter Tales,-
Монстр-тракер Meg,Meg,3,149,0,Stunt Show,-
Дух ягуара Meg,Meg,3,149,0,Ranked League,-
Loki Chester,Chester,3,149,0,Ranked League,-
Sporemind Cordelius,Cordelius,3,0,0,Brawl Pass,-
Raider Cordelius,Cordelius,3,149,0,Wasteland,-
Odin Cordelius,Cordelius,3,149,0,Northern Saga,-
Китбоксер,Kit,3,0,0,Brawl Pass,-
Китбоксер Тёмная Лапа,Kit,3,0,0,Brawl Pass,-
Китбоксер True Gold Лапа,Kit,3,0,0,Brawl Pass,-
Колдунья Shelly,Shelly,4,199,0,Halloween,-
Zeus Brock,Brock,4,199,0,Legends of Olymp,-
El Quarterback,El Primo,4,199,0,Super Brawl,-
Скади Jessie,Jessie,4,199,0,Northern Saga,-
Moldy Mike,Dynamike,4,199,0,Club League,-
Цербер Tick,Tick,4,199,0,Legends of Olymp,-
Brother Bo,Bo,4,199,0,Warrior's Journey,-
Supreme Bo,Bo,4,199,0,Warrior's Journey,-
Ванара Frank,Frank,4,199,0,Warrior's Journey,-
Арес Nani,Nani,4,199,0,Legends of Olymp,-
Thief Edgar,Edgar,4,199,0,Sands of Time,-
Равана Grom,Grom,4,199,0,Warrior's Journey,-
Родео Hank,Hank,4,199,0,Wasteland,-
Ringmaster Byron,Byron,4,199,0,Bizzare Circus,-
Лунная Janet,Janet,4,199,0,Lunar Stories,-
Какашка Spike,Spike,4,199,0,April Fool's,-
Белый волк Leon,Leon,4,199,0,Halloween,-
Мэгалодон,Meg,4,199,0,Cursed Pirates,-
Gamer Bibi,Bibi,4,199,0,Lunar Brawl,-
Nita с Бивнями,Nita,5,299,0,Bizzare Circus,-
Mecha Colt,Colt,5,299,0,Mecha Squad,-
Paragon Mecha Colt,Colt,5,299,49,Mecha Squad,-
Renegade Mecha Colt,Colt,5,299,49,Mecha Squad,-
Robo Mike,Dynamike,5,299,0,Max Force,-
Virus 8-BIT,8-BIT,5,299,0,Lunar Brawl,+
Antivirus 8-BIT,8-BIT,5,299,0,Lunar Brawl,-
Mecha Bo,Bo,5,299,0,Mecha Squad,-
Light Mecha Bo,Bo,5,299,49,Mecha Squad,-
Golden Mecha Bo,Bo,5,299,49,Mecha Squad,-
Спортсмен Stu,Stu,5,299,0,Brawl Academy,-
Злая Королева Pam,Pam,5,299,0,Once Upon,-
Синий Король Frank,Frank,5,299,0,Clash of Clans,-
Красный Король Frank,Frank,5,299,0,Clash of Clans,-
Thor Bibi,Bibi,5,299,0,Northern Saga,-
Mecha Edgar,Edgar,5,299,0,Mecha Squad,-
Mecha Edgar UNIT-00,Edgar,5,299,49,Mecha Squad,-
Mecha Edgar UNIT-01,Edgar,5,299,49,Mecha Squad,-
Mortis-Меха,Mortis,5,299,0,Mecha Squad,-
Светлый Mortis-Меха,Mortis,5,299,49,Mecha Squad,-
Тёмный Mortis-Меха,Mortis,5,299,49,Mecha Squad,-
Desert Scorpion Chuck,Chuck,5,299,0,Sands of Time,-
Сунь Укун Mico,Mico,5,299,0,Lunar Brawl,-
Мультяшка Spike,Spike,5,299,0,Cartoon Studios,-
Phoenix Crow,Crow,5,299,0,Flaming,-
Mecha Crow,Crow,5,299,0,Mecha Squad,-
Night Mecha Crow,Crow,5,299,49,Mecha Squad,-
Gold Mecha Crow,Crow,5,299,49,Mecha Squad,-
Leon-Меха,Leon,5,299,0,Mecha Squad,-
Теневой Leon-Меха,Leon,5,299,49,Mecha Squad,-
Сияющий Leon-Меха,Leon,5,299,49,Mecha Squad,-
